cve,reduc,state
1, ags,Aguascalientes
2, bc,Baja California
3, bcs,Baja California Sur
4, camp,Campeche
5, coah,Coahuila
6, col,Colima
7, chia,Chiapas
8, chih,Chihuahua
9,cdmx,Ciudad de México
10,dgo,Durango
11,gto,Guanajuato
12,grro,Guerrero
13,hgo,Hidalgo
14,jal,Jalisco
15,mex,México
16,mich,Michoacán
17,mor,Morelia
18,nay,Nayarit
19,nl,Nuevo León
20,oax,Oaxaca
21,pue,Puebla
22,qto,Queretaro
23,qroo,Quintana Roo
24,slp,San Luis Potosí
25,sin,Sinaloa
26,son,Sonora
27,tab,Tabasco
28,tam,Tamaulipas
29,tlax,Tlaxcala
30,ver,Veracruz
31,yuc,Yucatán
32,zac,Zacatecas
