,cve,si,no,ratio
0,1.0,11.0,248.0,0.04247104247104247
1,2.0,7.0,169.0,0.03977272727272727
2,3.0,5.0,76.0,0.06172839506172839
3,4.0,2.0,34.0,0.05555555555555555
4,5.0,6.0,102.0,0.05555555555555555
5,6.0,2.0,48.0,0.04
6,7.0,1.0,56.0,0.017543859649122806
7,8.0,6.0,140.0,0.0410958904109589
8,9.0,74.0,1586.0,0.04457831325301205
9,10.0,1.0,51.0,0.019230769230769232
10,11.0,15.0,256.0,0.055350553505535055
11,12.0,2.0,64.0,0.030303030303030304
12,13.0,7.0,104.0,0.06306306306306306
13,14.0,23.0,446.0,0.04904051172707889
14,15.0,22.0,681.0,0.031294452347083924
15,16.0,5.0,135.0,0.03571428571428571
16,17.0,2.0,82.0,0.023809523809523808
17,18.0,,48.0,
18,19.0,17.0,365.0,0.04450261780104712
19,20.0,5.0,375.0,0.013157894736842105
20,21.0,8.0,210.0,0.03669724770642202
21,22.0,8.0,161.0,0.047337278106508875
22,23.0,6.0,89.0,0.06315789473684211
23,24.0,6.0,144.0,0.04
24,25.0,4.0,93.0,0.041237113402061855
25,26.0,9.0,175.0,0.04891304347826087
26,27.0,5.0,55.0,0.08333333333333333
27,28.0,3.0,57.0,0.05
28,29.0,1.0,44.0,0.022222222222222223
29,30.0,6.0,258.0,0.022727272727272728
30,31.0,5.0,164.0,0.029585798816568046
31,32.0,2.0,73.0,0.02666666666666667
