,ent,migr,year,quarter,cve,equal_marriage,from_equal,from_non_equal,p1,p6b2
0,1,0.006772597030476686,2017,1,1,0,6.0,18.0,0.5515241128298453,5825.75803778588
1,2,0.007317073170731708,2017,1,2,0,2.0,21.0,0.5783253428475861,6779.794291868605
2,3,0.07012987012987013,2017,1,3,0,12.0,202.0,0.5925983517337895,8459.876767055932
3,4,0.02132132132132132,2017,1,4,1,35.0,35.0,0.5570588235294117,5861.554322699953
4,5,0.02890869669959046,2017,1,5,1,49.0,69.0,0.5642165242165242,7004.941736567672
5,6,0.029814004376367616,2017,1,6,1,38.0,69.0,0.6113434396236278,6451.437678154963
6,7,0.009731642583308758,2017,1,7,0,3.0,27.0,0.5434545634724012,4956.412812812813
7,8,0.008258064516129033,2017,1,8,1,20.0,8.0,0.5765417170495768,7700.45458996328
8,9,0.014259708737864078,2017,1,9,1,8.0,37.0,0.5591453882230328,6885.36455142232
9,10,0.02710843373493976,2017,1,10,0,14.0,75.0,0.5478495282440877,5765.7827166625275
10,11,0.007521489971346705,2017,1,11,0,8.0,30.0,0.5777795707600452,5864.356288580247
11,12,0.016357688113413305,2017,1,12,0,8.0,36.0,0.5448747680890538,4695.757854179016
12,13,0.01639892904953146,2017,1,13,0,8.0,40.0,0.5321553852150188,6082.949910554562
13,14,0.007931538300981006,2017,1,14,0,9.0,28.0,0.5909133314674876,6446.339436942092
14,15,0.0035676061362825543,2017,1,15,0,10.0,10.0,0.5375479759577088,5533.2117394800325
15,16,0.012805587892898719,2017,1,16,1,37.0,7.0,0.5615565246561557,6173.854184829991
16,17,0.006339673006339673,2017,1,17,1,10.0,8.0,0.5168439716312057,4913.114738358137
17,18,0.028964726125609408,2017,1,18,1,69.0,32.0,0.584514592019059,6136.884138520735
18,19,0.027856365614798696,2017,1,19,0,22.0,101.0,0.5578874079968172,7460.124469214437
19,20,0.03851217906517446,2017,1,20,0,9.0,108.0,0.5415481511580659,5148.341216216216
20,21,0.010736944851146901,2017,1,21,0,7.0,37.0,0.5582015446855462,5214.424712356178
21,22,0.014342386328959414,2017,1,22,0,22.0,24.0,0.5125439340685978,6633.747932085329
22,23,0.052782558806655194,2017,1,23,1,98.0,85.0,0.6064470918009811,6757.640011145166
23,24,0.020338012030936693,2017,1,24,0,9.0,60.0,0.5473985134362492,5950.80081300813
24,25,0.017811704834605598,2017,1,25,0,3.0,66.0,0.5903628379939913,6940.5684210526315
25,26,0.03655282817502668,2017,1,26,0,2.0,132.0,0.5793927327028372,7390.388120423108
26,27,0.04190026556506344,2017,1,27,0,14.0,127.0,0.512591575091575,6311.04534853589
27,28,0.03738592876067118,2017,1,28,0,8.0,119.0,0.5420409181636726,5971.690020606417
28,29,0.012004801920768308,2017,1,29,0,8.0,32.0,0.5427526830994222,4588.711334601794
29,30,0.015081563558017852,2017,1,30,0,4.0,42.0,0.516396933560477,4939.106905518636
30,31,0.021094640820980615,2017,1,31,0,24.0,47.0,0.6005675771550195,5316.010477299185
31,32,0.04214992927864215,2017,1,32,0,10.0,135.0,0.532078413900646,6094.4738760631835
32,1,0.005095541401273885,2018,1,1,0,2.0,17.0,0.5523189399131826,5951.622319034853
33,2,0.0066820276497695855,2018,1,2,0,6.0,17.0,0.5896853713915018,7491.25608089642
34,3,0.07783853329044708,2018,1,3,0,27.0,213.0,0.5866583541147132,8818.504199066874
35,4,0.020282728948985862,2018,1,4,1,33.0,32.0,0.5497363374880153,6072.130239166469
36,5,0.02690662865288667,2018,1,5,1,83.0,62.0,0.5614787918798482,7086.7323276618135
37,6,0.03290726135436497,2018,1,6,1,49.0,70.0,0.6043455633619568,6846.080597014925
38,7,0.01903276131045242,2018,1,7,0,5.0,56.0,0.5411463664278403,5291.432070337031
39,8,0.017428043306047004,2018,1,8,1,50.0,13.0,0.5668502754131197,7797.043431346102
40,9,0.013893274392169246,2018,1,9,1,2.0,39.0,0.5609920474457474,7122.608391608392
41,10,0.027033436092008537,2018,1,10,0,15.0,97.0,0.5533150015276505,5895.958297506449
42,11,0.009284543965046422,2018,1,11,0,9.0,39.0,0.5687273923051628,6277.231576862124
43,12,0.022274325908558032,2018,1,12,0,9.0,45.0,0.5311854103343465,4869.125272670614
44,13,0.023019634394041977,2018,1,13,0,15.0,53.0,0.5339449541284403,6182.113862881305
45,14,0.010969723562966213,2018,1,14,0,15.0,35.0,0.5814488309697202,6815.835059171598
46,15,0.0034665207079000184,2018,1,15,0,4.0,15.0,0.5298340062808434,5585.100400457666
47,16,0.018604651162790697,2018,1,16,1,51.0,12.0,0.5642150247413406,6250.3663522012575
48,17,0.0022816166883963492,2018,1,17,1,6.0,1.0,0.5274351875157312,5001.416666666667
49,18,0.030442274554853533,2018,1,18,1,81.0,23.0,0.5979406420351302,6527.048387096775
50,19,0.021054916431517256,2018,1,19,0,11.0,85.0,0.5573424464770329,7585.654925701706
51,20,0.035070468698787285,2018,1,20,0,7.0,99.0,0.5446921660871343,5389.443004418262
52,21,0.00906801007556675,2018,1,21,0,2.0,33.0,0.5484567032554649,5663.192101551481
53,22,0.012584138132865087,2018,1,22,0,9.0,33.0,0.5334051724137931,7201.218444538887
54,23,0.047971572401539826,2018,1,23,1,71.0,85.0,0.615295312726745,7011.402727272727
55,24,0.020504294818509284,2018,1,24,0,10.0,62.0,0.5395245992260918,6484.021935096154
56,25,0.01309612058314801,2018,1,25,0,4.0,49.0,0.6014416928264156,7157.21116970278
57,26,0.0326975476839237,2018,1,26,0,8.0,106.0,0.5822444273635665,7424.2169054441265
58,27,0.028040327662255827,2018,1,27,0,17.0,71.0,0.500709219858156,6138.905263157894
59,28,0.030809859154929578,2018,1,28,0,4.0,100.0,0.542271135567784,6445.9732461355525
60,29,0.00823672971323978,2018,1,29,0,5.0,22.0,0.5395855791112708,5054.334722222222
61,30,0.01880777813197322,2018,1,30,0,8.0,49.0,0.5122871308471654,5121.175117924528
62,31,0.017072488105233697,2018,1,31,0,16.0,44.0,0.5991463836659361,5593.241288151887
63,32,0.04153537668289888,2018,1,32,0,14.0,127.0,0.5194565968224729,6177.852968317441
64,1,0.003611971104231166,2019,1,1,0,4.0,9.0,0.5548520778174283,6341.8662524525835
65,2,0.011315417256011316,2019,1,2,0,7.0,48.0,0.5836721148261843,8279.549947201689
66,3,0.08311772315653299,2019,1,3,0,35.0,221.0,0.6093172690763052,9144.814803344689
67,4,0.017330495591365156,2019,1,4,1,36.0,18.0,0.5532719111741082,6171.402173913043
68,5,0.024329603977979043,2019,1,5,1,86.0,47.0,0.5517749059381646,7804.793909348442
69,6,0.03841901603095633,2019,1,6,1,70.0,68.0,0.5921766072811774,7149.049902966454
70,7,0.011812247435498913,2019,1,7,1,26.0,12.0,0.5229959272871759,5544.535421785422
71,8,0.0206797338608164,2019,1,8,1,66.0,46.0,0.5762502208870826,8152.509382401166
72,9,0.018465456860872333,2019,1,9,1,7.0,49.0,0.5585226517869005,7328.0654981549815
73,10,0.021335807050092765,2019,1,10,0,15.0,75.0,0.5563246062794663,6324.200652528548
74,11,0.009200150206533985,2019,1,11,0,12.0,34.0,0.557445043550394,6684.432386684221
75,12,0.020028612303290415,2019,1,12,0,8.0,47.0,0.5554035567715458,4912.3881059751975
76,13,0.03068530514831231,2019,1,13,0,14.0,76.0,0.5394632991318075,6509.73767143274
77,14,0.008338544923910778,2019,1,14,0,11.0,28.0,0.593541626976567,7088.305441354292
78,15,0.005522827687776142,2019,1,15,0,9.0,21.0,0.5295424255886273,5772.818074424099
79,16,0.020744529695936344,2019,1,16,1,60.0,12.0,0.5689329030822299,6814.38673068529
80,17,0.0029791459781529296,2019,1,17,1,3.0,6.0,0.5140722291407223,4899.244541484716
81,18,0.026522879626930923,2019,1,18,1,62.0,28.0,0.5780146090288588,6729.379167574635
82,19,0.01709586669552045,2019,1,19,0,15.0,64.0,0.552978179673678,8110.120510774142
83,20,0.0403530895334174,2019,1,20,0,15.0,113.0,0.5544913801794535,5409.866974972797
84,21,0.006582155046318869,2019,1,21,0,2.0,25.0,0.5557171423377568,5636.094946808511
85,22,0.00827912477823773,2019,1,22,0,8.0,17.0,0.5254297150930068,7649.866024518389
86,23,0.039910061832490164,2019,1,23,1,77.0,61.0,0.6280589543937709,7394.474226804124
87,24,0.017635712317442823,2019,1,24,0,7.0,56.0,0.5460416434695469,6885.417575757576
88,25,0.019556025369978858,2019,1,25,0,13.0,57.0,0.5756273234200744,7384.231150793651
89,26,0.02810810810810811,2019,1,26,0,12.0,88.0,0.572983922015445,7682.622896551724
90,27,0.021780303030303032,2019,1,27,0,30.0,38.0,0.5117164267872012,6264.348360655737
91,28,0.03771796815769522,2019,1,28,0,16.0,179.0,0.5692439862542955,6767.3638996139
92,29,0.01026694045174538,2019,1,29,0,6.0,29.0,0.5428148485538602,4971.292165397171
93,30,0.022835112692763938,2019,1,30,0,7.0,70.0,0.5139340927583401,5459.562272600056
94,31,0.01909375890567113,2019,1,31,0,28.0,38.0,0.5952490774907749,5915.876821493624
95,32,0.03496099393238948,2019,1,32,0,19.0,101.0,0.5118386767871304,6718.428123038292
96,1,0.005582339507739152,2020,1,1,1,12.0,10.0,0.5587763519706691,7010.153674121406
97,2,0.01448225923244026,2020,1,2,0,29.0,45.0,0.5727117194183062,8726.57914057439
98,3,0.06941290950373014,2020,1,3,1,124.0,89.0,0.6025044148338418,9477.775973030954
99,4,0.057419222062152706,2020,1,4,1,132.0,142.0,0.551062942892872,7516.425550059696
100,5,0.024274406332453827,2020,1,5,1,85.0,43.0,0.5429678044057129,8335.499683243586
101,6,0.025186825352892333,2020,1,6,1,53.0,36.0,0.5931558935361216,7474.174624829468
102,7,0.04370834966679733,2020,1,7,1,137.0,30.0,0.5475655956222815,5985.507369614513
103,8,0.01966041108132261,2020,1,8,1,74.0,34.0,0.5722875585816606,8452.72125895213
104,9,0.012141967621419676,2020,1,9,1,8.0,24.0,0.5548142333856619,8423.823001282599
105,10,0.02220595412396291,2020,1,10,0,13.0,75.0,0.5475748194014448,6880.492176386913
106,11,0.00890909090909091,2020,1,11,0,16.0,30.0,0.5698369787826657,6980.766582094962
107,12,0.019539427773900907,2020,1,12,0,5.0,51.0,0.5643621304497872,5475.1788685524125
